*NOUNS
now;あの
(do something) late;遅く
right away;すぐ
slowly/leisurely/unhurriedly;ゆっくり
always;何時も
very;とても
already;もう
on foot;歩いて
(do something) early/fast;早く
#
*ADJECTIVES
this...;この。。。
that...;その。。。
that (over there)...;あの。。。
delicious;おいしい
expensive/high;高い
good;いい
early;早い
many/a lot;たくさん
new;新しい
hot (weather);暑い
hot (thing);熱い
busy (people/days);忙しい
large;大きい
interesting/funny;面白い
good-looking;かっこいい
frightening;怖い
cold (weather);寒い
fun;楽しい
small;小さい
boring;つまらない
old (thing);古い
difficult;難しい
easy/kind;やさしい
inexpensive/cheap;安い
disgusted with/to dislike;嫌い（な）
beautiful/clean;きれい（な）
healthy/energetic;元気（な）
quiet;静か（な）
fond of/to like;好き（な）
to hate;大嫌い（な）
very fond of/to love;大好き（な）
lively;にぎやか（な）
handsome;ハンサム（な）
not busy;暇（な）
tough (situation);大変（な）
bright/smart/clever;頭がいい
cute;かわいい
tall (stature);背が高い
short (stature);背が低い
long;長い
fast;速い
short (length);短い
kind;親切（な）
convenient;便利（な）
skillful/good at...;上手（な）
clumsy/poor at...;下手（な）
famous;有名（な）
blue;青い
red;赤い
black;黒い
lonely;寂しい
white;白い
young;若い
mean-spirited;意地悪（な）
warm;暖かい
slow/late;遅い
cool (weather);涼しい
cold (things/people);冷たい
sleepy;眠い
easy/simple;簡単（な）
#
*GRAMMARSTRUCTURES
ている;ている
と;と
が;が
も;も
ない;ない
か;か
の;の
て;て
で;で
に;に
てもいいです;てもいいです
へ;へ
を;を
は;は
ませんか;ませんか
ましょうか;ましょうか
ましょう;ましょう
てはいけません;てはいけません
にいく;にいく
てください;てください
のが;のが
。。。のほうが。。。より。。。;。。。のほうが。。。より。。。
。。。と。。。とどっちのほうか。。。;。。。と。。。とどっちのほうか。。。
。。。の中で。。。がいちばん。。。;。。。の中で。。。がいちばん。。。
つもりです;つもりです
なる;なる
#
*OTHERS
um...;あの。。。
yes;はい
P.M.;午後
A.M.;午前
...years old;。。。歳
